Year,Butler County Sheriff's Dept,Cape Girardeau Police Dept,Caruthersville Police Dept,Charleston Police Dept,Dexter Police Dept,Fredericktown Police Dept,Hayti Police Dept,Howell County Sheriff's Dept,Jackson Police Dept,Kennett Police Dept,Madison County Sheriff's Dept,Malden Police Dept,Mountain View Police Dept,New Madrid County Sheriff's Dept,New Madrid Police Dept,Pemiscot County Sheriff's Dept,Perry County Sheriff's Dept,Perryville Police Dept,Poplar Bluff Police Dept,Scott City Police Dept,Scott County Sheriff's Dept,Sikeston Police Dept,Stoddard County Sheriff's Dept,Thayer Police Dept,Wayne County Sheriff's Dept,West Plains Police Dept
2014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015,142.9,111.3,112.7,104.0,86.7,48.1,113.7,27.3,95.5,103.0,303.4,227.4,100.0,253.8,113.6,19.4,436.7,325.0,75.3,309.4,58.5,102.7,207.7,271.4,333.3,185.7
2016,87.8,172.9,72.8,78.9,145.9,40.7,115.3,22.7,104.5,74.6,124.1,485.5,76.5,207.7,76.5,45.2,277.6,216.7,61.8,284.9,116.0,150.3,169.2,304.8,283.3,34.7
2017,79.6,214.4,134.2,57.7,148.1,37.0,58.3,43.2,133.8,119.6,27.6,416.1,11.8,230.8,67.4,180.6,377.6,566.7,92.2,110.4,85.6,72.5,219.2,157.1,391.7,124.5
2018,87.8,244.6,56.3,62.6,118.5,25.9,61.3,31.8,198.5,88.7,93.1,548.4,41.2,192.3,44.7,16.1,587.8,600.0,67.3,166.0,87.8,131.1,88.5,81.0,483.3,75.5
2019,77.6,195.0,86.1,76.7,100.7,7.4,,52.3,213.5,85.4,110.3,498.4,58.8,30.8,70.5,103.2,387.8,516.7,69.8,282.1,48.4,137.8,180.8,133.3,783.3,110.2
2020,40.8,114.0,129.7,35.2,88.9,27.8,56.7,43.2,176.7,110.0,48.3,388.7,64.7,300.0,65.9,219.4,536.7,458.3,60.6,241.5,34.6,91.2,130.8,57.1,425.0,102.0
2021,53.1,103.7,204.4,52.0,117.8,31.5,56.7,52.3,211.3,121.2,69.0,500.0,88.2,930.8,51.5,16.1,369.4,350.0,72.6,217.9,46.8,108.8,111.5,95.2,1333.3,134.7
2022,67.3,150.7,177.8,60.4,146.7,44.4,42.2,90.9,259.4,90.4,41.4,382.3,141.2,907.7,,71.0,426.5,758.3,101.2,267.9,83.5,132.5,261.5,66.7,725.0,120.4
2023,102.0,161.2,322.2,48.9,234.8,55.6,13.4,140.9,275.2,110.7,10.3,274.2,152.9,192.3,132.6,116.1,644.9,441.7,120.3,350.0,45.7,273.8,373.1,33.3,1108.3,336.7
2024,169.4,190.8,,94.3,145.2,42.6,,104.5,273.7,111.2,,,305.9,815.4,202.3,154.8,628.6,558.3,145.6,,,215.1,488.5,66.7,825.0,
