Year,Ashland Police Dept,Boone County Sheriff's Dept,Boonville Police Dept,California Police Dept,Callaway County Sheriff's Dept,Camdenton Police Dept,Centralia Police Dept,Cole County Sheriff's Dept,Columbia Police Dept,Fulton Police Dept,Jefferson City Police Dept,Phelps County Sheriff's Dept,Pulaski County Sheriff's Dept,Rolla Police Dept,St Robert Police Dept,Sunrise Beach Police Dept,Waynesville Police Dept
2014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015,85.7,93.9,126.9,160.0,153.3,176.0,81.8,122.2,82.0,85.7,165.1,207.5,69.7,56.8,65.7,94.3,105.1
2016,100.0,104.1,165.4,286.7,193.3,116.0,127.3,44.4,93.4,114.3,144.4,290.6,78.8,84.1,,,70.7
2017,85.7,105.4,246.2,173.3,133.3,56.0,172.7,104.4,108.1,139.3,160.3,250.9,21.2,63.6,105.5,94.3,61.6
2018,100.0,166.2,123.1,133.3,100.0,76.0,127.3,157.8,163.0,75.0,90.5,100.0,72.7,61.4,109.4,37.1,92.9
2019,66.7,167.6,107.7,,146.7,60.0,218.2,206.7,117.1,157.1,111.1,96.2,157.6,46.6,88.4,54.3,118.2
2020,95.2,89.2,76.9,,253.3,72.0,136.4,226.7,70.1,67.9,117.5,92.5,57.6,54.5,74.6,22.9,140.4
2021,133.3,104.1,73.1,,253.3,148.0,81.8,208.9,71.6,114.3,111.1,122.6,63.6,67.0,91.7,20.0,178.8
2022,123.8,124.3,80.8,,233.3,124.0,72.7,224.4,79.1,125.0,196.8,264.2,39.4,68.2,49.2,37.1,176.8
2023,76.2,179.1,65.4,,306.7,168.0,145.5,282.2,54.0,96.4,312.7,273.6,30.3,54.5,60.2,45.7,147.5
2024,109.5,277.0,115.4,,366.7,248.0,118.2,242.2,143.1,107.1,512.7,209.4,,68.2,105.0,100.0,192.9
