Year,Andrew County Sheriff's Dept,Buchanan County Sheriff's Dept,Chillicothe Police Dept,Maryville Dept of Public Safety,St Joseph Police Dept
2014,100.0,100.0,100.0,100.0,100.0
2015,130.0,112.1,166.7,181.2,107.1
2016,130.0,242.4,150.0,200.0,103.1
2017,110.0,154.5,141.7,156.2,69.5
2018,40.0,169.7,158.3,118.8,108.7
2019,,233.3,416.7,393.8,127.0
2020,240.0,303.0,158.3,256.2,92.7
2021,390.0,181.8,225.0,262.5,79.7
2022,340.0,242.4,333.3,412.5,80.1
2023,250.0,36.4,175.0,243.8,110.0
2024,550.0,63.6,133.3,187.5,160.0
