Year,Cape Girardeau Police Dept,Dexter Police Dept,Dunklin County Sheriff's Dept,Fredericktown Police Dept,Jackson Police Dept,Kennett Police Dept,Mountain View Police Dept,Perry County Sheriff's Dept,Poplar Bluff Police Dept,Scott City Police Dept,Scott County Sheriff's Dept,Thayer Police Dept,West Plains Police Dept
2014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015,76.0,78.9,30.0,75.0,115.8,71.0,58.3,206.7,90.0,221.4,69.2,90.0,310.0
2016,170.0,178.9,10.0,54.2,189.5,49.0,20.8,146.7,76.7,92.9,176.9,130.0,120.0
2017,186.0,157.9,90.0,54.2,215.8,67.1,4.2,100.0,103.3,64.3,161.5,90.0,130.0
2018,284.0,152.6,150.0,37.5,168.4,58.7,8.3,326.7,56.7,157.1,92.3,70.0,100.0
2019,208.0,121.1,,33.3,268.4,54.2,29.2,306.7,66.7,164.3,69.2,110.0,110.0
2020,110.0,184.2,400.0,16.7,278.9,85.2,37.5,206.7,40.0,200.0,23.1,50.0,210.0
2021,100.0,178.9,160.0,20.8,331.6,93.5,50.0,140.0,50.0,178.6,30.8,80.0,280.0
2022,138.0,184.2,50.0,54.2,273.7,69.7,133.3,200.0,53.3,235.7,138.5,80.0,350.0
2023,202.0,347.4,210.0,150.0,363.2,142.6,129.2,440.0,40.0,2857.1,100.0,10.0,850.0
2024,290.0,321.1,,75.0,426.3,128.4,229.2,520.0,96.7,,,20.0,
