Year,Andrew County Sheriff's Dept,Atchison County Sheriff's Dept,Buchanan County Sheriff's Dept,Caldwell County Sheriff's Dept,Carroll County Sheriff's Dept,Chillicothe Police Dept,Daviess County Sheriff's Dept,DeKalb County Sheriff's Dept,Gentry County Sheriff's Dept,Grundy County Sheriff's Dept,Harrison County Sheriff's Dept,Holt County Sheriff's Dept,Livingston County Sheriff's Dept,Maryville Dept of Public Safety,Nodaway County Sheriff's Dept,Savannah Police Dept,St Joseph Police Dept,Trenton Police Dept,Worth County Sheriff's Dept
2014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015,142.9,23.9,117.6,51.9,84.8,116.9,101.4,113.1,86.3,158.1,,164.1,82.7,97.9,74.2,148.2,101.8,95.8,97.7
2016,175.8,41.6,116.4,75.8,114.5,109.3,100.9,191.0,82.4,75.6,,34.0,147.5,90.3,158.7,231.0,107.4,112.4,158.1
2017,166.8,79.2,77.9,16.0,277.0,97.5,78.7,206.0,52.9,150.6,138.5,172.8,148.3,77.6,253.4,331.0,75.5,86.0,200.0
2018,172.0,54.1,80.2,17.7,345.5,160.0,133.1,63.7,63.1,162.2,184.6,239.8,216.6,67.7,144.3,267.6,91.1,89.2,251.2
2019,,,123.2,35.2,378.8,116.9,101.4,208.2,81.2,269.2,23.1,214.6,,108.7,156.7,194.7,100.1,119.0,318.6
2020,259.9,50.5,139.4,44.8,272.1,87.6,236.9,188.4,44.7,175.6,538.5,88.3,178.2,72.9,117.4,206.7,78.6,55.7,260.5
2021,422.0,39.1,83.8,110.4,165.5,122.9,298.8,281.6,31.0,166.9,1223.1,203.9,186.7,74.7,96.6,229.6,68.8,46.0,223.3
2022,319.8,28.4,109.7,126.9,124.2,158.0,210.7,183.9,89.0,219.8,2130.8,300.0,152.0,98.0,92.3,273.2,63.2,72.1,355.8
2023,347.5,6.1,141.7,77.0,50.9,123.3,210.4,308.6,107.1,115.1,3715.4,,262.0,86.7,141.9,237.0,67.2,106.0,718.6
2024,462.1,7.0,210.3,94.1,360.0,100.1,172.3,374.2,51.4,23.3,,224.3,149.6,54.3,,,68.8,,
