race,year,license_stops,total_arrests,total_stops,arrests_per_100_lic,arrest_rate_pct,license_share_pct,no_action_pct
White,2014,302797,54520,1317360,18.0,4.14,22.99,3.07
White,2015,253144,48930,1243384,19.3,3.94,20.36,3.17
White,2016,260122,50730,1212726,19.5,4.18,21.45,2.99
White,2017,287876,51353,1189744,17.8,4.32,24.2,2.94
White,2018,281768,50101,1177844,17.8,4.25,23.92,3.09
White,2019,314045,52645,1162018,16.8,4.53,27.03,3.28
White,2020,232942,33230,897674,14.3,3.7,25.95,3.15
White,2021,250572,36677,940543,14.6,3.9,26.64,3.21
White,2022,302400,34951,984097,11.6,3.55,30.73,2.76
White,2023,338241,43226,1053004,12.8,4.11,32.12,2.34
White,2024,323283,33228,984190,10.3,3.38,32.85,2.58
Black,2014,92558,24027,304321,26.0,7.9,30.41,5.36
Black,2015,74903,19101,276445,25.5,6.91,27.1,5.14
Black,2016,81483,18443,279657,22.6,6.59,29.14,4.27
Black,2017,97922,19035,288851,19.4,6.59,33.9,4.18
Black,2018,99769,18853,296065,18.9,6.37,33.7,4.92
Black,2019,112257,18453,302543,16.4,6.1,37.1,4.59
Black,2020,64322,9636,209222,15.0,4.61,30.74,4.67
Black,2021,76111,10589,226062,13.9,4.68,33.67,5.37
Black,2022,83329,11596,220556,13.9,5.26,37.78,4.71
Black,2023,95980,11325,235979,11.8,4.8,40.67,3.72
Black,2024,88746,12680,217871,14.3,5.82,40.73,3.87
Hispanic,2014,6048,2520,30782,41.7,8.19,19.65,4.41
Hispanic,2015,5279,2300,31764,43.6,7.24,16.62,4.07
Hispanic,2016,5899,2455,34472,41.6,7.12,17.11,3.72
Hispanic,2017,7281,2517,34068,34.6,7.39,21.37,3.16
Hispanic,2018,6486,2175,34769,33.5,6.26,18.65,3.62
Hispanic,2019,7040,2240,35526,31.8,6.31,19.82,3.99
Hispanic,2020,5278,1427,29711,27.0,4.8,17.76,4.13
Hispanic,2021,5805,1525,31701,26.3,4.81,18.31,4.43
Hispanic,2022,7662,1880,36105,24.5,5.21,21.22,4.04
Hispanic,2023,9733,2387,42736,24.5,5.59,22.77,4.22
Hispanic,2024,12080,2877,46655,23.8,6.17,25.89,4.0
