agency,ice_facility,detainers,hisp_stops_2014,hisp_stops_2024,change_pct,arrest_ratio_2024
Greene County Sheriff's Dept,GREENE COUNTY JAIL,237,362,701,93.6,1.71
Jasper County Sheriff's Dept,JASPER COUNTY JAIL,219,338,376,11.2,2.09
St Louis County Police Dept,ST. LOUIS COUNTY JAIL,192,859,338,-60.7,1.53
Kansas City Police Dept,KANSAS CITY POLICE DEPT.,162,2308,2623,13.6,3.01
Jackson County Sheriff's Dept,JACKSON COUNTY JAIL,131,555,117,-78.9,0.64
St Charles County Police Dept,ST. CHARLES COUNTY JAIL,90,,386,,1.64
Boone County Sheriff's Dept,BOONE COUNTY JAIL,81,148,410,177.0,2.08
Christian County Sheriff's Dept,CHRISTIAN CO SHERIFF DEPT,80,21,129,514.3,1.25
Independence Police Dept,INDEPENDENCE POLICE DEPT.,79,1149,1894,64.8,1.25
St Charles Police Dept,ST CHARLES POLICE DEPT,62,212,358,68.9,3.43
Taney County Sheriff's Dept,TANEY COUNTY SHERIFF,61,23,129,460.9,4.51
O'Fallon Police Dept,O'FALLON MO POLICE DEPT,59,189,663,250.8,3.89
Pettis County Sheriff's Dept,PETTIS COUNTY JAIL,44,43,126,193.0,1.24
Camden County Sheriff's Dept,CAMDEN COUNTY SHERIFF,44,,86,,1.91
Webster County Sheriff's Dept,WEBSTER COUNTY SHERIFF,28,5,54,980.0,
Jefferson County Sheriff's Dept,JEFFERSON COUNTY JAIL,27,31,107,245.2,2.71
