row_key,agency,Total,White,Black,Hispanic,Native American,Asian,Other,year,checked
search-statistics--arrest-charge--resist-arrest,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
search-statistics--probable-cause--reas-susp-weapon,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
search-statistics--search-duration--31-minutes,Bates City Police Dept,3,2,1,0,0,0,0,2021,0
number-of-stops-by-race--stop-outcome--warning,Bates City Police Dept,147,140,1,5,0,0,1,2021,0
search-statistics--arrest-charge--off-against-person,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
number-of-stops-by-race--non-resident-stops,Missouri Dept of Conservation Protection Branch,43,37,2,1,0,3,0,2021,0
search-statistics--arrest-charge--outstanding-warrant,Bates City Police Dept,2,0,0,2,0,0,0,2021,0
disparity-index-by-race--population--acs-population,Bates City Police Dept,132,130,0,0,0,2,0,2021,0
number-of-stops-by-race--reason-for-stop--equpiment,Bates City Police Dept,26,22,3,1,0,0,0,2021,0
number-of-stops-by-race--location-of-stop--city-street,Bates City Police Dept,213,200,5,5,1,1,1,2021,0
number-of-stops-by-race--reason-for-stop--moving,Bates City Police Dept,174,161,2,9,1,1,0,2021,0
search-statistics--probable-cause--consent,Bates City Police Dept,8,4,2,0,1,1,0,2021,0
number-of-stops-by-race--stop-outcome--contraband,Bates City Police Dept,3,2,0,1,0,0,0,2021,0
search-statistics--contraband-found--drugs-alcohol,Bates City Police Dept,3,2,0,1,0,0,0,2021,0
number-of-stops-by-race--stop-outcome--citation,Bates City Police Dept,86,75,4,5,1,1,0,2021,0
search-statistics--search-duration--0-15-minutes,Bates City Police Dept,1,1,0,0,0,0,0,2021,0
number-of-stops-by-race--driver-age--17-and-under,Bates City Police Dept,9,9,0,0,0,0,0,2021,0
rates-by-race--stop-rate-residents--arrest-rate,Missouri Capitol Police,0.65,0.76,0,0,,,0,2021,0
number-of-stops-by-race--location-of-stop--state-hwy,Bates City Police Dept,24,19,0,5,0,0,0,2021,0
number-of-stops-by-race--driver-age--40-and-over,Bates City Police Dept,5,2,1,2,0,0,0,2021,0
rates-by-race--rates--stop-rate-residents,Pemiscot County Sheriff's Dept,1,0.96,1.2,0.71,0,0,0,2021,0
disparity-index-by-race--stops--all-stops,Bates City Police Dept,237,219,5,10,1,1,1,2021,0
rates-by-race--totals--all-stops,Bates City Police Dept,237,219,5,10,1,1,1,2021,0
search-statistics--search-duration--16-30-minutes,Bates City Police Dept,8,3,1,2,1,1,0,2021,0
number-of-stops-by-race--stop-outcome--no-action,Bates City Police Dept,2,2,0,0,0,0,0,2021,0
number-of-stops-by-race--stop-outcome--arrests,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
search-statistics--arrest-charge--dwi-bac,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
search-statistics--probable-cause--other,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
number-of-stops-by-race--resident-stops,Bates City Police Dept,194,194,0,0,0,0,0,2021,0
disparity-index-by-race--disparity-index--all-stops,Pemiscot County Sheriff's Dept,,0.931,1.132,2.489,0,0,0,2021,0
search-statistics--contraband-found--weapon,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
rates-by-race--stop-rate-residents--contraband-hit-rate,Missouri Capitol Police,0,0,0,,,,,2021,0
rates-by-race--rates--search-rate,Pemiscot County Sheriff's Dept,22.22,25,20,0,,,,2021,0
search-statistics--probable-cause--plain-view-contra,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
rates-by-race--stop-rate-residents--search-rate,St Charles City Parks and Recreation Dept,5.13,3.57,0,25,,0,0,2021,0
rates-by-race--totals--searches,Bates City Police Dept,12,6,2,2,1,1,0,2021,0
search-statistics--arrest-charge--other,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
rates-by-race--rates--contraband-hit-rate,Anderson Police Dept,47.17,47.09,,40,0,50,100,2021,0
disparity-index-by-race--disparity-index--resident-stops,Versailles Police Dept,,1.061,3.014,0.071,,,0.125,2021,0
rates-by-race--stop-rate-residents--citation-rate,Missouri Capitol Police,9.94,9.09,18.52,0,,,0,2021,0
number-of-stops-by-race--reason-for-stop--investigative,Bates City Police Dept,2,1,0,0,0,0,1,2021,0
rates-by-race--rates--stop-rate,Pemiscot County Sheriff's Dept,0.14,0.13,0.16,0.36,0,0,0,2021,0
number-of-stops-by-race--location-of-stop--us-hwy,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
rates-by-race--population--acs-population,Bates City Police Dept,132,130,0,0,0,2,0,2021,0
search-statistics--what-searched--driver,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
search-statistics--what-searched--car-property,Bates City Police Dept,9,5,1,2,0,1,0,2021,0
rates-by-race--rates--citation-rate,Anderson Police Dept,29.56,27.9,33.33,44.34,57.14,34.33,84.62,2021,0
rates-by-race--totals--citations,Bates City Police Dept,86,75,4,5,1,1,0,2021,0
search-statistics--contraband-found--stolen-property,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
number-of-stops-by-race--stop-outcome--searches,Bates City Police Dept,12,6,2,2,1,1,0,2021,0
number-of-stops-by-race--location-of-stop--other,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
search-statistics--probable-cause--drug-dog-alert,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
disparity-index-by-race--population--acs-population-pct,Bates City Police Dept,100,98.48,0,0,0,1.52,0,2021,0
search-statistics--arrest-charge--traffic-violation,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
rates-by-race--rates--arrest-rate,Anderson Police Dept,1.7,1.73,0,0,0,2.99,7.69,2021,0
number-of-stops-by-race--driver-age--30-39,Bates City Police Dept,57,51,2,4,0,0,0,2021,0
search-statistics--contraband-found--other,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
number-of-stops-by-race--location-of-stop--interstate-hwy,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
number-of-stops-by-race--driver-age--18-29,Bates City Police Dept,90,81,2,4,1,1,1,2021,0
search-statistics--arrest-charge--drug-violation,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
search-statistics--what-searched--driver-property,Bates City Police Dept,2,1,1,0,0,0,0,2021,0
search-statistics--probable-cause--inventory,Bates City Police Dept,1,1,0,0,0,0,0,2021,0
rates-by-race--totals--resident-stops,Bates City Police Dept,194,194,0,0,0,0,0,2021,0
disparity-index-by-race--stops--resident-stops,Bates City Police Dept,194,194,0,0,0,0,0,2021,0
number-of-stops-by-race--reason-for-stop--license,Bates City Police Dept,34,34,0,0,0,0,0,2021,0
rates-by-race--population--acs-population-pct,Bates City Police Dept,100,98.48,0,0,0,1.52,0,2021,0
rates-by-race--contraband-hit-rate--citation-rate,Warson Woods Police Dept,64.47,65.71,25,,,,100,2021,0
search-statistics--probable-cause--drug-alcohol-odor,Bates City Police Dept,3,1,0,2,0,0,0,2021,0
search-statistics--probable-cause--incident-to-arrest,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
search-statistics--arrest-charge--property-offense,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
rates-by-race--totals--contraband,Bates City Police Dept,3,2,0,1,0,0,0,2021,0
number-of-stops-by-race--location-of-stop--county-road,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
number-of-stops-by-race--driver-gender--male,Bates City Police Dept,138,123,4,8,1,1,1,2021,0
rates-by-race--totals--arrests,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
rates-by-race--contraband-hit-rate--arrest-rate,Warson Woods Police Dept,0,0,0,,,,0,2021,0
number-of-stops-by-race--driver-gender--female,Bates City Police Dept,99,96,1,2,0,0,0,2021,0
search-statistics--contraband-found--currency,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
number-of-stops-by-race--all-stops,Bates City Police Dept,237,219,5,10,1,1,1,2021,0
number-of-stops-by-race--location-of-stop--us-hwy,St Ann Police Dept,23,8,10,2,1,1,1,2021,0
search-statistics--what-searched--driver,Bernie Police Dept,0,0,0,0,0,0,0,2021,0
search-statistics--contraband-found--stolen-property,Smithton Police Dept,0,0,0,0,0,0,0,2021,0
search-statistics--what-searched--driver,St Ann Police Dept,17,6,11,0,0,0,0,2021,0
search-statistics--search-duration--31-minutes,Anderson Police Dept,1,1,0,0,0,0,0,2021,0
search-statistics--arrest-charge--other,Pleasant Hope Police Dept,0,0,0,0,0,0,0,2021,0
search-statistics--arrest-charge--other,Poplar Bluff Police Dept,25,20,5,0,0,0,0,2021,0
disparity-index-by-race--population--acs-population,Texas County Sheriff's Dept,20806,18709,507,457,205,449,607,2021,0
search-statistics--arrest-charge--other,Iberia Police Dept,0,0,0,0,0,0,0,2021,0
number-of-stops-by-race--location-of-stop--state-hwy,Jackson Police Dept,933,822,71,7,23,5,5,2021,0
search-statistics--arrest-charge--off-against-person,Milan Police Dept,0,0,0,0,0,0,0,2021,0
search-statistics--what-searched--driver,Osceola Police Dept,0,0,0,0,0,0,0,2021,0
search-statistics--contraband-found--stolen-property,Wright County Sheriff's Dept,0,0,0,0,0,0,0,2021,0
number-of-stops-by-race--stop-outcome--no-action,Pettis County Sheriff's Dept,88,77,4,5,0,2,0,2021,0
disparity-index-by-race--disparity-index--resident-stops,Stoddard County Sheriff's Dept,,1.013,0.986,1.393,,0,0,2021,0
search-statistics--contraband-found--other,Iberia Police Dept,0,0,0,0,0,0,0,2021,0
number-of-stops-by-race--stop-outcome--no-action,Texas County Sheriff's Dept,2,2,0,0,0,0,0,2021,0
search-statistics--contraband-found--other,Ellisville Police Dept,0,0,0,0,0,0,0,2021,0
rates-by-race--rates--citation-rate,Chaffee Police Dept,38.46,38.78,50,0,,,,2021,0
number-of-stops-by-race--reason-for-stop--investigative,Center Police Dept,1,0,1,0,0,0,0,2021,0
rates-by-race--rates--arrest-rate,New Bloomfield Police Dept,2.44,2.7,0,0,,,0,2021,0
number-of-stops-by-race--stop-outcome--no-action,Gladstone Dept of Public Safety,159,116,32,7,2,0,2,2021,0
rates-by-race--rates--citation-rate,Owensville Police Dept,16.04,16.6,0,,,,,2021,0
search-statistics--contraband-found--drugs-alcohol,Neosho Police Dept,31,28,0,1,0,2,0,2021,0
number-of-stops-by-race--stop-outcome--citation,Memphis Police Dept,4,4,0,0,0,0,0,2021,0
number-of-stops-by-race--location-of-stop--state-hwy,Wheaton Police Dept,13,11,0,1,0,1,0,2021,0
rates-by-race--totals--contraband,Shrewsbury Police Dept,6,4,2,0,0,0,0,2021,0
rates-by-race--totals--resident-stops,Mountain Grove Police Dept,380,366,6,3,0,3,2,2021,0
number-of-stops-by-race--resident-stops,Cardwell Police Dept,21,17,1,3,0,0,0,2021,0
number-of-stops-by-race--location-of-stop--county-road,St James Police Dept,6,5,1,0,0,0,0,2021,0
number-of-stops-by-race--reason-for-stop--equpiment,St Joseph Police Dept,2711,2222,325,114,11,29,10,2021,0
search-statistics--what-searched--driver,Moberly Police Dept,39,37,1,0,0,0,1,2021,0
disparity-index-by-race--population--acs-population,Cleveland Police Dept,658,625,0,22,3,0,26,2021,0
rates-by-race--totals--contraband,Marionville Police Dept,1,1,0,0,0,0,0,2021,0
number-of-stops-by-race--driver-age--17-and-under,St Joseph Police Dept,354,298,36,14,2,3,1,2021,0
number-of-stops-by-race--reason-for-stop--investigative,Barry County Sheriff's Dept,14,14,0,0,0,0,0,2021,0
number-of-stops-by-race--stop-outcome--no-action,Wright County Sheriff's Dept,6,6,0,0,0,0,0,2021,0
number-of-stops-by-race--stop-outcome--citation,Oran Police Dept,0,0,0,0,0,0,0,2021,0
rates-by-race--totals--contraband,Sunrise Beach Police Dept,7,7,0,0,0,0,0,2021,0
number-of-stops-by-race--stop-outcome--warning,Palmyra Police Dept,1122,1006,76,21,3,7,9,2021,0
number-of-stops-by-race--stop-outcome--arrests,Odessa Police Dept,440,419,16,5,0,0,0,2021,0
rates-by-race--totals--resident-stops,Duenweg Police Dept,28,23,3,2,0,0,0,2021,0
number-of-stops-by-race--reason-for-stop--moving,Eureka Police Dept,1156,1018,62,4,0,8,64,2021,0
number-of-stops-by-race--reason-for-stop--moving,Hartville Police Dept,90,90,0,0,0,0,0,2021,0
search-statistics--probable-cause--inventory,Reynolds County Sheriff's Dept,0,0,0,0,0,0,0,2021,0
search-statistics--contraband-found--currency,Douglas County Sheriff's Dept,0,0,0,0,0,0,0,2021,0
rates-by-race--contraband-hit-rate--arrest-rate,Gasconade Police Dept,0,0,,,,,,2021,0
search-statistics--search-duration--16-30-minutes,Linn Police Dept,0,0,0,0,0,0,0,2021,0
search-statistics--search-duration--31-minutes,Morgan County Sheriff's Dept,0,0,0,0,0,0,0,2021,0
search-statistics--arrest-charge--resist-arrest,Reynolds County Sheriff's Dept,0,0,0,0,0,0,0,2021,0
number-of-stops-by-race--location-of-stop--city-street,Billings Police Dept,13,13,0,0,0,0,0,2021,0
rates-by-race--totals--citations,Washington County Sheriff's Dept,75,71,4,0,0,0,0,2021,0
number-of-stops-by-race--location-of-stop--city-street,Dade County Sheriff's Dept,158,153,0,3,1,0,1,2021,0
search-statistics--arrest-charge--drug-violation,Missouri Univ SandT Police Dept,1,1,0,0,0,0,0,2021,0
disparity-index-by-race--stops--resident-stops,Country Club Village Police Dept,46,46,0,0,0,0,0,2021,0
search-statistics--what-searched--driver,Shrewsbury Police Dept,1,1,0,0,0,0,0,2021,0
search-statistics--probable-cause--incident-to-arrest,Edina Police Dept,0,0,0,0,0,0,0,2021,0
disparity-index-by-race--stops--all-stops,St Ann Police Dept,1661,528,1072,36,7,12,6,2021,0
number-of-stops-by-race--driver-gender--female,Lawrence County Sheriff's Dept,456,411,8,27,0,7,3,2021,0
number-of-stops-by-race--location-of-stop--us-hwy,Parkville Police Dept,0,0,0,0,0,0,0,2021,0
number-of-stops-by-race--stop-outcome--no-action,Grundy County Sheriff's Dept,3,3,0,0,0,0,0,2021,0
search-statistics--arrest-charge--drug-violation,Cuba Police Dept,28,17,3,2,2,2,2,2021,0
number-of-stops-by-race--all-stops,Wentzville Police Dept,8217,6850,1100,107,5,50,105,2021,0
search-statistics--probable-cause--consent,Martinsburg Police Dept,0,0,0,0,0,0,0,2021,0
number-of-stops-by-race--driver-gender--female,Poplar Bluff Police Dept,1101,985,107,5,0,2,2,2021,0
number-of-stops-by-race--driver-gender--male,Jamestown Police Dept,45,39,2,1,1,2,0,2021,0
disparity-index-by-race--population--acs-population-pct,Carterville Police Dept,100,88.35,1.03,5.73,0.12,1.45,3.92,2021,0
search-statistics--arrest-charge--traffic-violation,Qulin Police Dept,0,0,0,0,0,0,0,2021,0
search-statistics--probable-cause--other,Riverview Police Dept,1,0,1,0,0,0,0,2021,0
rates-by-race--totals--contraband,Manchester Police Dept,158,100,51,2,0,0,5,2021,0
rates-by-race--totals--searches,Manchester Police Dept,289,186,91,5,0,2,5,2021,0
number-of-stops-by-race--driver-age--30-39,Washburn Police Dept,0,0,0,0,0,0,0,2021,0
